,air,arrang,channel,compris,configur,connect,cool,devic,direct,extend,flow,fluid,form,includ,inlet,invent,outlet,plate,plural,provid,relat,second,structur,surfac,use
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.1333300636377933,0.060421603959845485,0.0,0.0,0.0,0.0,0.0,0.0,0.037324919054274895,0.07757030096437602,0.07041479316077823,0.0,0.23091056408151514,0.0,0.0,0.39286895120989246,0.0,0.0,0.0,0.17986477959652625,0.0,0.0,0.0
17,0.0,0.0,0.10562097406778181,0.14359376627120266,0.0,0.0,0.0,0.0,0.0,0.05381893411415065,0.08870379717713164,0.0,0.12550716161743375,0.0,0.0,0.0,0.0,0.43348728680460097,0.0,0.1661631250216397,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.12128903637534885,0.0,0.1581959760403867,0.0,0.1818364912896034,0.0,0.3636729825792068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1854099723995929,0.1854099723995929
30,0.0,0.0,0.0,0.07522384863282176,0.0,0.2943409522808814,0.0,0.1127755739963368,0.0,0.1127755739963368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3493678772105204,0.0,0.08704716151380167,0.0,0.0,0.0,0.11499185842024975,0.11499185842024975
31,0.0,0.0,0.0,0.09310127948266748,0.0,0.2428619802500604,0.0,0.2791548272064884,0.0,0.1395774136032442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08647947949914084,0.0,0.0,0.0,0.0,0.0,0.2846408245148945,0.14232041225744724
34,0.0,0.0,0.3167378915691921,0.1435371057457852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18427542075274128,0.08363842524524125,0.0,0.0,0.1696846885643419,0.0,0.26665614613856203,0.0,0.0,0.10970987819659368,0.0,0.0,0.0,0.0
46,0.0,0.0,0.0,0.27133441647393153,0.0,0.0,0.0,0.0,0.0,0.4067844854917107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12601791960999373,0.08991205020162965,0.0,0.10369467054261314,0.0,0.0,0.0,0.0
67,0.0,0.19139222437174394,0.11223245964527631,0.07629110468155545,0.0,0.09950566126148985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11662333246318501,0.09018875133964772,0.11548576120218428,0.14172984646260742,0.0,0.08828216359544427,0.0,0.36336890991090665,0.11778970603540448,0.0,0.0
93,0.0,0.07296294219041292,0.0,0.058167707479185,0.0,0.0,0.0,0.0,0.17610288915488034,0.0,0.14373037661669338,0.0,0.06778812249846039,0.0,0.0,0.0,0.0,0.3241832826193126,0.15420020513275837,0.06731022036034122,0.0,0.2077863783754921,0.17961614773637086,0.0,0.0
142,0.0,0.065276049303104,0.07655579105433366,0.0,0.0,0.06787461164385643,0.0,0.0,0.0,0.0,0.19288184252288346,0.0,0.06064641437877453,0.0,0.0,0.0,0.0,0.43504421499906737,0.0,0.060218860848264305,0.0,0.0,0.0,0.0,0.15910176967216547
157,0.0,0.06983910606572373,0.0,0.0,0.0,0.21785795490259638,0.0,0.0,0.0,0.08347141545687055,0.0,0.0,0.2595433646198721,0.21277128540314816,0.0,0.0,0.0,0.25858641364016943,0.07379913801665541,0.0,0.0,0.0,0.17192606022027132,0.0,0.0
