,exchang,heat,heat exchang
118,-0.05249905148076903,-0.04656505069759388,-0.05391491519546996
121,-0.05249905148076903,-0.04656505069759388,-0.05391491519546996
122,-0.0,-0.0,-0.0
123,-0.0,-0.08849447685242647,-0.0
124,-0.0,-0.08849447685242647,-0.0
125,-0.0,-0.0,-0.0
126,-0.0,-0.0,-0.0
127,-0.0,-0.0,-0.0
128,-0.0,-0.0,-0.0
129,-0.05249905148076903,-0.04656505069759388,-0.05391491519546996
130,-0.05249905148076903,-0.04656505069759388,-0.05391491519546996
133,-0.05249905148076903,-0.04656505069759388,-0.05391491519546996
135,-0.0,-0.0,-0.0
136,-0.05249905148076903,-0.04656505069759388,-0.05391491519546996
137,-0.0,-0.0,-0.0
138,-0.0,-0.0,-0.0
139,-0.0,-0.08849447685242647,-0.0
140,-0.05249905148076903,-0.04656505069759388,-0.05391491519546996
141,-0.05249905148076903,-0.04656505069759388,-0.05391491519546996
143,-0.0,-0.08849447685242647,-0.0
144,-0.05249905148076903,-0.04656505069759388,-0.05391491519546996
146,-0.0,-0.0,-0.0
147,-0.05249905148076903,-0.04656505069759388,-0.05391491519546996
148,-0.0,-0.0,-0.0
149,-0.08849447685242647,-0.0,-0.0
150,-0.0,-0.0,-0.0
151,-0.0,-0.0,-0.0
152,-0.05249905148076903,-0.04656505069759388,-0.05391491519546996
153,-0.0,-0.0,-0.0
155,-0.05249905148076903,-0.04656505069759388,-0.05391491519546996
159,-0.05249905148076903,-0.04656505069759388,-0.05391491519546996
160,-0.0,-0.0,-0.0
161,-0.05249905148076903,-0.04656505069759388,-0.05391491519546996
167,-0.0,-0.0,-0.0
172,-0.0,-0.0,-0.0
173,-0.0,-0.0,-0.0
174,-0.05249905148076903,-0.04656505069759388,-0.05391491519546996
176,-0.05249905148076903,-0.04656505069759388,-0.05391491519546996
179,-0.05249905148076903,-0.04656505069759388,-0.05391491519546996
180,-0.0,-0.0,-0.0
181,-0.06620466084221883,-0.058721506419295987,-0.0
182,-0.0,-0.0,-0.0
183,-0.05249905148076903,-0.04656505069759388,-0.05391491519546996
