,air,bodi,chamber,commun,cool,direct,disclos,effici,extend,flow,form,heat exchang,inlet,outlet,plate,plate heat,surfac,unit,wall,water
32,-0.0,-0.0,-0.18372780149669027,-0.0,-0.06561707196310365,-0.0,-0.0,-0.0,-0.0,-0.054629382811894285,-0.0,-0.0,-0.050997948646802654,-0.04828451426151861,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
33,-0.0,-0.0,-0.0,-0.0,-0.0,-0.05153478044230669,-0.0,-0.0,-0.0,-0.0,-0.0,-0.02824187894800807,-0.132471337410322,-0.12542296994591287,-0.0961511610891731,-0.0,-0.0,-0.0,-0.0,-0.0
34,-0.0,-0.0,-0.0,-0.0,-0.0,-0.12085082451820091,-0.055886608072706415,-0.0,-0.0,-0.1064865295985188,-0.09520495181243646,-0.06622817304191134,-0.0,-0.0,-0.0,-0.0,-0.05882423171843694,-0.0,-0.0,-0.0
35,-0.14095416454373946,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.05567903249281805,-0.0,-0.0,-0.03159376442553023,-0.0,-0.0,-0.14836327919584344,-0.0,-0.0
39,-0.0,-0.0,-0.0,-0.0,-0.0,-0.12722709348246827,-0.0,-0.06361354674123414,-0.0,-0.05605245851596967,-0.15034215967319067,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
40,-0.0,-0.0,-0.0,-0.0,-0.0,-0.05142184590505222,-0.0,-0.02571092295252611,-0.0,-0.09061971960570506,-0.040509565251329496,-0.02817998902623455,-0.0,-0.0,-0.12792060421290136,-0.0,-0.12514811508187054,-0.0,-0.0,-0.0
41,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.1914575927028825,-0.04439505277237738,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.08573872644047463,-0.0
42,-0.1542541724052707,-0.03638370272368248,-0.0,-0.0,-0.0,-0.06671274054169635,-0.0,-0.0,-0.0,-0.0,-0.026277782025356466,-0.01827982118578836,-0.0,-0.0,-0.020744913782728122,-0.0,-0.06494495546624392,-0.09741743319936587,-0.03530322615145687,-0.0
46,-0.0,-0.10366627464772266,-0.05029386324368554,-0.0,-0.02514693162184277,-0.0,-0.021975437084518188,-0.0,-0.0,-0.0,-0.01871799435355736,-0.0,-0.0,-0.0,-0.16254549053759382,-0.0,-0.0693916618535101,-0.0,-0.0,-0.0
53,-0.0,-0.0,-0.0,-0.0,-0.04146782875110929,-0.0,-0.012079322114459473,-0.013060338491595562,-0.0,-0.0,-0.0,-0.021471819353877656,-0.0,-0.0,-0.04873472631130608,-0.04146782875110929,-0.0,-0.06357129798772146,-0.0,-0.1880026412476959
59,,,,,,,,,,,,,,,,,,,,
62,,,,,,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,,,,,,
